UNITID,ARANK,XHRTOTLT,HRTOTLT,XHRTOTLM,HRTOTLM,XHRTOTLW,HRTOTLW,XHRAIANT,HRAIANT,XHRAIANM,HRAIANM,XHRAIANW,HRAIANW,XHRASIAT,HRASIAT,XHRASIAM,HRASIAM,XHRASIAW,HRASIAW,XHRBKAAT,HRBKAAT,XHRBKAAM,HRBKAAM,XHRBKAAW,HRBKAAW,XHRHISPT,HRHISPT,XHRHISPM,HRHISPM,XHRHISPW,HRHISPW,XHRNHPIT,HRNHPIT,XHRNHPIM,HRNHPIM,XHRNHPIW,HRNHPIW,XHRWHITT,HRWHITT,XHRWHITM,HRWHITM,XHRWHITW,HRWHITW,XHR2MORT,HR2MORT,XHR2MORM,HR2MORM,XHR2MORW,HR2MORW,XHRUNKNT,HRUNKNT,XHRUNKNM,HRUNKNM,XHRUNKNW,HRUNKNW,XHRNRALT,HRNRALT,XHRNRALM,HRNRALM,XHRNRALW,HRNRALW 
100724,10,"R",54,"R",24,"R",30,"R",1,"R",1,"Z",0,"R",6,"R",4,"R",2,"R",27,"R",11,"R",16,"R",1,"Z",0,"R",1,"R",0,"Z",0,"Z",0,"R",19,"R",8,"R",11,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0
100724,11,"R",1,"R",0,"R",1,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0
100724,14,"R",70,"R",32,"R",38,"R",1,"R",1,"R",0,"R",6,"R",4,"R",2,"R",37,"R",17,"R",20,"R",2,"R",1,"R",1,"R",0,"R",0,"R",0,"R",24,"R",9,"R",15,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
100724,15,"R",1,"R",1,"R",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0
100724,16,"R",2,"R",1,"R",1,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",2,"R",1,"R",1,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0
100724,17,"R",16,"R",9,"R",7,"R",0,"Z",0,"Z",0,"R",2,"R",1,"R",1,"R",11,"R",6,"R",5,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",3,"R",2,"R",1,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0
100724,18,"R",54,"R",20,"R",34,"R",0,"Z",0,"Z",0,"R",2,"Z",0,"R",2,"R",41,"R",13,"R",28,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",11,"R",7,"R",4,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0
100724,21,"R",73,"R",31,"R",42,"R",0,"R",0,"R",0,"R",4,"R",1,"R",3,"R",55,"R",21,"R",34,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",14,"R",9,"R",5,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
100724,22,"R",253,"R",118,"R",135,"R",3,"R",2,"R",1,"R",25,"R",19,"R",6,"R",147,"R",51,"R",96,"R",2,"R",1,"R",1,"R",0,"R",0,"R",0,"R",76,"R",45,"R",31,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
100751, 1,"R",313,"R",237,"R",76,"R",0,"R",0,"R",0,"R",26,"R",24,"R",2,"R",12,"R",7,"R",5,"R",5,"R",4,"R",1,"R",0,"R",0,"R",0,"R",269,"R",202,"R",67,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1
